id,data_registro,tipo_ocorrencia,descricao,status,nome_declarante,nome_autor,deleted
0,2025-06-18,Perturbação do Sossego/Tranquilidade,Recusandae ex eaque dignissimos quo quam tempore.,Encaminhado,Davi Miguel da Mata,Théo Teixeira,False
1,2025-08-22,Embriaguez ao Volante,Quo harum natus vel in quidem.,Reaberto,Fernando Oliveira,Brayan das Neves,False
2,2025-08-07,Acidente de Trânsito,Reiciendis dicta perspiciatis deleniti.,Complementado,Josué Fogaça,José Miguel Nogueira,False
3,2025-07-08,Encontro de Pessoa,Necessitatibus eaque fugit aliquam possimus.,Arquivado,Isadora Costela,Oliver Castro,False
4,2025-08-29,Desobediência,Voluptatem molestiae aspernatur corporis sint accusantium dolore.,Registrado,Murilo Campos,Giovanna da Paz,False
5,2025-08-02,Desacato,Nemo accusamus odio nemo est distinctio.,Registrado,Calebe Abreu,Yasmin Rios,False
6,2025-08-23,Danos Materiais,Adipisci numquam quo totam.,Encaminhado,Sra. Julia Novais,Renan Correia,False
7,2025-03-19,Furto,Perspiciatis exercitationem tempore consectetur eveniet tempora vitae.,Arquivado,Milena Vasconcelos,Maria Laura Moraes,False
8,2025-01-16,Tentativa de Suicídio,Similique ea culpa ea assumenda saepe maiores.,Reaberto,Sophie da Cruz,Dra. Ester Andrade,False
9,2025-08-13,Furto,Quod laborum cumque tempore omnis atque ea vitae.,Concluído,Dr. João Gabriel Moura,Yuri Ramos,False
10,2025-09-05,Perturbação do Sossego/Tranquilidade,Molestiae labore quis laboriosam.,Reaberto,Cauã Gomes,Maria Júlia Moreira,False
11,2025-06-04,Desacato,Inventore libero ut eligendi incidunt ad magni molestiae.,Suspenso,Srta. Alexia Novaes,Dr. Alexandre Costela,False
12,2025-04-21,Outros,Sed rerum repellendus nulla.,Aguardando Validação,Heloisa Cirino,Dra. Carolina Cavalcanti,False
13,2025-08-07,Tráfico de Drogas,Facere vel deserunt natus libero.,Aguardando Validação,Miguel Cavalcante,Hellena Cavalcanti,False
14,2025-01-28,Calúnia,Necessitatibus ratione assumenda harum praesentium.,Em Investigação,Valentim Garcia,Sr. Eduardo Rodrigues,False
15,2025-09-06,Receptação,Voluptas itaque voluptatum perferendis adipisci.,Arquivado,Pedro Miguel Moreira,Maria Laura Moraes,False
16,2025-05-13,Outros,Repellendus quasi quis incidunt repellat.,Complementado,Breno Sousa,Fernando Borges,False
17,2025-09-21,Lesão Corporal,Provident enim sint praesentium unde.,Aguardando Validação,Eduardo Mendonça,Oliver Farias,False
18,2025-08-16,Estelionato,Ratione rerum magni eos consectetur fugit sint.,Arquivado,Maria Eduarda Ramos,João Gabriel Albuquerque,False
