id,data_registro,tipo_ocorrencia,descricao,status,nome_declarante,nome_autor,deleted
0,2025-09-10,Perda,In autem voluptates corporis.,Fechado,Olívia Monteiro,Arthur Gabriel Abreu,False
1,2025-01-04,Agressão,Corrupti ad commodi fuga magnam quo ipsam.,Em análise,Hellena Brito,Benício das Neves,False
2,2025-05-13,Vandalismo,Molestias commodi iste.,Fechado,Vitor Hugo Araújo,Diego das Neves,False
3,2025-03-18,Agressão,In debitis quia aperiam aliquid accusantium eum dolorum.,Fechado,Pedro Henrique Borges,Dra. Isabelly da Conceição,False
4,2025-07-14,Roubo,Eos fugiat tempora.,Fechado,Clara da Mata,Aurora Cardoso,False
5,2025-02-13,Roubo,Consequuntur velit blanditiis.,Fechado,Valentina Caldeira,Mateus Moreira,False
6,2025-08-01,Vandalismo,Id voluptate reiciendis corrupti.,Aberto,Diogo Ribeiro,Caroline Peixoto,False
7,2025-07-25,Furto,Officiis iusto et fugit.,Em análise,Dr. Théo Vasconcelos,Dr. Arthur Gabriel Ferreira,False
8,2025-01-31,Vandalismo,Ipsam voluptatibus molestiae recusandae distinctio.,Fechado,Luan Ramos,Mirella Pinto,False
9,2025-09-24,Furto,Vero voluptates doloremque fuga.,Aberto,Marcos Vinicius da Paz,Maria Helena da Mota,False
10,2025-03-08,Vandalismo,Voluptatum quos beatae quae tempora debitis.,Em análise,Ana Sophia Cardoso,Gael Nogueira,False
11,2025-09-24,Furto,Animi nostrum impedit.,Fechado,Thiago Jesus,Sra. Vitória da Cunha,False
12,2025-02-26,Roubo,Rerum quas aspernatur dicta ipsa commodi incidunt.,Fechado,João Ramos,Enzo Gabriel Pires,False
13,2025-09-12,Furto,Corporis alias neque numquam ab eveniet repudiandae.,Fechado,Gael Henrique Siqueira,Mirella da Conceição,False
14,2025-01-25,Perda,Odit esse quisquam facere.,Fechado,Vinicius Sá,Sra. Nina Santos,False
15,2025-04-21,Perda,Delectus sit nisi excepturi assumenda voluptas reprehenderit.,Fechado,Srta. Heloísa Lima,Sra. Maria Laura Macedo,False
16,2025-05-02,Roubo,Ullam beatae veritatis veniam dicta ducimus aliquid.,Fechado,Guilherme da Mata,Gael Henrique Macedo,False
17,2025-03-31,Perda,Culpa magni nisi nisi provident deserunt corporis temporibus.,Aberto,Diego Gomes,Rael Viana,False
18,2025-05-17,Agressão,Dicta eligendi commodi.,Fechado,Rafael Vieira,Isaque Duarte,False
19,2025-09-05,Roubo,Ea similique ducimus mollitia qui accusantium quia tempora.,Aberto,Ana Cecília Mendonça,Srta. Ana da Mota,False
20,2025-05-29,Perda,Consequuntur enim quo doloremque rerum animi ipsum.,Fechado,Kevin Carvalho,Bárbara Vieira,False
21,2025-02-03,Agressão,Esse et impedit culpa.,Aberto,Ana Júlia Guerra,Cecília Vargas,False
22,2025-05-15,Agressão,Illum perspiciatis excepturi voluptas.,Fechado,Cecília Pires,Yago Porto,False
23,2025-01-24,Agressão,Ab similique excepturi soluta itaque repellat.,Em análise,Sra. Júlia Ribeiro,Gael da Cruz,False
24,2025-09-15,Agressão,In assumenda assumenda necessitatibus minima laborum.,Fechado,Luana Porto,Cecília Camargo,False
25,2025-03-10,Vandalismo,Totam provident deserunt expedita.,Aberto,Pedro Henrique Rodrigues,Kevin Montenegro,False
